entity1	theme	entity2
12-O-tetradecanoyl_phorbol_13-acetate	treatment	PKC
1,1-dimethylbiguanide_hydrochloride	treatment	diabetes
12-O-tetradecanoylphorbol-13-acetate	treatment	chronic_lymphocytic_leukemia
11-dehydrosinulariolide	treatment	SCLC
1,2-Dibromoethane	treatment	stomach_tumors
1,25-D3	treatment	prostatic_cancer
1,25-dihydroxyvitamin_D3	treatment	asthma
1,1,3,3-Tetramethylguanidine	treatment	switchable_polarity_solvents
1,1-Dichloroethylene	treatment	liver_and_kidney_damage
12-O-tetradecanoylphorbol-13-acetate	treatment	promyelocytic_leukemia
125Iodine	treatment	prostatic_carcinoma
11-Beta	treatment	Hypertension
10-EdAM	treatment	stomatitis
131-I-bromsulphalein	treatment	hepatitis
1,2-epoxybutene-3	treatment	BD
10-hydroxycamptothecin	treatment	cytotoxicity
1,2-dimethylhydrazine	treatment	adenocarcinoma
12-O-tetradecanoylphorbol-13-acetate	treatment	acute_promyelocytic_leukemia
1,25-D	treatment	MCF
12-O-tetradecanoyl-phorbol-13-acetate	treatment	Chinese_hamster_ovary
12-O-tetradecanoylphorbol-13-acetate	treatment	lung_carcinoma
1,2-dimethylhydrazine	treatment	carcinogenesis
11C-methionine	treatment	intracranial_tuberculomas
1,25-Dihydroxyvitamin_D3	treatment	acute_myelogenous_leukemia
11C-Choline_PET	treatment	prostate_cancer
1,2-dimethylhydrazine	treatment	sarcomas
1,2-dimethylhydrazine_dihydrochloride	treatment	tumour
12-O-tetradecanoylphorbol-13-acetate	treatment	mouse_epidermis
12-O-tetradecanoylphorbol-13-acetate	treatment	malignant_epithelial_and_mesenchymal_skin_tumors
12-O-Tetradecanoylphorbol-13-acetate	treatment	erythroleukemia
13C	treatment	hypoxia
123I-iomazenil	treatment	seizures
12-0-tetradecanoylphorbol	treatment	B-PLL
12-O-tetradecanoyl_phorbol-13_acetate	treatment	HCC
10-EDAM	treatment	lung_cancer
12-O-tetradecanoylphorbol-13-acetate	treatment	EBV
10-EdAM	treatment	Toxic_dermatitis
1,2-dimethylhydrazine	treatment	gastrointestinal_cancer
12-O-tetradecanoylphorbol-13-acetate	treatment	Protein_kinase_C
1,25-dihydroxy_vitamin_D3	treatment	renal_failure
1,2-dimethylhydrazine	treatment	Renal_cell_tumors
12-O-tetradecanoylphorbol_13-acetate	treatment	myeloid_leukemia
1,25-dihydroxy-vitamin_D3	treatment	diabetic_nephropathy
13-cis-RA	treatment	skin_tumor
11C-Methionine	treatment	Gliomas
1,25-dihydroxyvitamin_D	treatment	end-stage_renal_disease
11C-methionine	treatment	gliomas
10-ethyl-10-deaza-aminopterin	treatment	non-small-cell_lung_cancer
1,2-dioleoyl-3-trimethylammonium-propane	treatment	antigen-presenting_cells
12-O-Tetradecanoylphorbol-13-acetate	treatment	leukemia
13C-aminopyrine	treatment	hepatitis
123I-MIBG	treatment	sympathetic_nervous_dysfunction
13_cis-retinoic_acid	treatment	Hypercalcemia
1,2,3,4-tetrahydro-1-acridone	treatment	amyloid-beta_and_tau_aggregation
1,2-dimethyl-3-hydroxypyrid-4-one	treatment	thalassemia
1,3-butanediol	treatment	cerebral_ischemia
1,2-Dimethylhydrazine	treatment	colonic_tumors
123I-IMZ	treatment	anxiety_disorder
1,25-dihydroxyvitamin_D3	treatment	osteosarcoma
1,2-benzopyrone	treatment	renal_cell_carcinoma
12-0-tetradecanoylphorbol-13-acetate	treatment	PKC
11C-AC	treatment	malignant_tumor
1,2-dimethylhydrazine	treatment	Gastric_tumor
1,2,4-trimethyl_benzene	treatment	WS
1,3-Butanediol	treatment	ketonemia
123I-metaiodobenzylguanidine	treatment	brain_tumors
131I-metaiodobenzylguanidine	treatment	pheochromocytomas_and_paragangliomas
11-dehydro-thromboxane_B2	treatment	cerebral_infarction
12-DHGD	treatment	neuro-inflammation
1,1-disubstituted_olefin	treatment	RCM
1-25-hydroxyvitamine_D	treatment	increases_vascular_calcification
1,2,3,4,6-penta-O-galloyl-b-d-glucopyranose	treatment	brain_injury
1,25-dihydroxyvitamin_D	treatment	short_stature_and_skeletal_deformities
131-iodine	treatment	renal_failure
1,25-dihydroxycholecalciferol	treatment	TD
1,2-dimethylhydrazine	treatment	Cancer
12-O-Tetradecanoylphorbol_13-acetate	treatment	sister_chromatid_exchanges
13C-galactose	treatment	chronic_liver_disease
13-azaprostanoic_acid	treatment	pulmonary_hypertension
1,25-Dihydroxyvitamin_D3	treatment	osteoporosis
11C-choline_positron	treatment	localized_prostate_cancer
1,25-dihydroxyvitamin_D	treatment	prostate_cancer
12-O-tetradecaoylphorbol-13-acetate	treatment	PKC
1,25-dihydroxycholecalciferol	treatment	primary_hyperparathyroidism
13-cis_RA	treatment	ATL
123I-betamethyl-p-iodophenyl-pentadecanoic_acid	treatment	chest_pain
12,13-epoxyoctadecenoic_acid	treatment	colon_tumorigenesis
12-O-tetradecanoylphorbol_13-acetate	treatment	Epstein-Barr_virus
12-tetradecanoylphorbol-13-acetate	treatment	myeloid_leukemia
123I-MIBG	treatment	myocardial_sympathetic_dysfunction
12-0-tetradecanoyl_phorbol_13_acetate	treatment	B-CLL
1,2,3-triazoles	treatment	acute_myeloid_leukemia
1,2,3,4,6-penta-O-galloyl-beta-D-glucopyranoside	treatment	HCC
12-O-tetradecanoylphorbol_13-acetate	treatment	PKC
13-acetate	treatment	PKC
123I-Iomazenil	treatment	seizures
12-epoxyeicosatrienoic_acid	treatment	myocardial_ischemia
1,2-Dimethylhydrazine	treatment	CRC
125I-TU	treatment	melanoma
12-O-tetradecanoylphorbol-13-acetate	treatment	pigment_dispersion
12-0-tetradecanoyl-phorbol_13-acetate	treatment	protein_kinase_C
12-O-tetradecanoylphorbol_13-acetate	treatment	OA
131I-6beta-iodomethyl-19-norcholesterol	treatment	adrenal_metastases
12-O-tetradecanoyl-phorbol_13-acetate	treatment	protein_kinase_C
131I	treatment	cord_paralysis
12-O-tetradecanoylphorbol_13-acetate	treatment	irritant_contact_dermatitis
10058-F4	treatment	MM
1,2-dimethylhydrazine	treatment	colon_cancers
11beta-hydroxysteroid	treatment	cortisone_reductase_deficiency
11C-methionine	treatment	urinary_bladder_carcinoma
125Iodine	treatment	carcinoma_of_the_prostate
1,2-dithiole-3-thione	treatment	tumour
1,1-difluoroethane	treatment	Acute_skeletal_fluorosis
1,25-Dihydroxyvitamin_D3	treatment	psoriasis
111In-pentetreotide	treatment	neural_crest_tumors
1,3-butylen_glycol	treatment	skin_lesions
1,2-dimethylhydrazine	treatment	colon_carcinogenesis
1,2-dibromoethane	treatment	embryonic_day
131-iodine	treatment	hyperthyroidism
1,25-Dihydroxyvitamin_D3	treatment	breast_cancer
12-O-tetradecanoylphorbol-13-acetate	treatment	colon_cancer
1,2-diacyl-sn-glycerol	treatment	protein_kinase_C
1,3,7-tripropylxanthine	treatment	behavioral_depression
1,25-dihydroxycholecalciferol	treatment	osteoporosis
1,2-dimethylhydrazine	treatment	Intestinal_carcinoma
1,25-dihydroxyvitamin_D3	treatment	cancer
108/124	treatment	cancers
125iodine	treatment	glioblastoma
1,3,6-trinitropyrene	treatment	CQDs
123I-MIBG	treatment	tumors
1,25-dihydroxyvitamin_D3	treatment	liver_cancers
1,25-VD	treatment	PCa
131I	treatment	differentiated_thyroid_cancer
12-O-tetradecanoylphorbol-13-acetate	treatment	metastasis
1,25-dihydroxycholecalciferol	treatment	Postmenopausal_osteoporosis
12-MTA	treatment	tumors
12-O-tetradecanoylphorbol-13-acetate	treatment	protein_kinase_C
1,2-DCE	treatment	brain_edema
12-O-tetradecanoylphorbol-13-acetate	treatment	IP
1,3-butylene_glycol	treatment	Allergic_contact_dermatitis
11_beta-Hydroxysteroid	treatment	hypertension
123I-MIBG	treatment	familial_amyloid_polyneuropathy_type_I
131I-6beta-iodocholesterol	treatment	adrenal_hyperplasia
1,25-dihydroxyvitamin_D	treatment	hyperprolactinemia
12-HETE	treatment	sickle-cell_disease
1,2-dibromo-3-chloropropane	treatment	impaired_semen_quality
1,2-sn-DAG	treatment	PKC
1,25-vitamin_D	treatment	celiac_disease
13C-acetate	treatment	gastroesophageal_reflux
12-deoxyphorbol_13-esters	treatment	tumor
12-0-tetradecanoyl-phorbol-13-acetate	treatment	AML
1,3-butadiene	treatment	leukemia
125-iodine	treatment	definitive_implantation_in_the_treatment_of_some_apical_and_non_apical_lung_tumors
131I	treatment	pulmonary_aspergilloma
123I-metaiodobenzylguanidine	treatment	PD
123I	treatment	ischemia
123I-metaiodobenzylguanidine	treatment	heart_failure
1,3-butadiene	treatment	lung_tumors
131I	treatment	HT
13C-caffeine	treatment	fibrosis
11C-Met	treatment	tumor
131I-6beta-iodomethyl-19-norcholesterol	treatment	renal_cell_carcinoma
1,25-dihydroxyvitamin_D	treatment	hypercalciuria
1,1,1-trichloroethane	treatment	Liver_disease
12-0-Tetradecanoylphorbol-13-acetate	treatment	inflammation
10-EdAM	treatment	squamous_cell_carcinoma
1,2-epoxy-3-butene	treatment	SCEs
123I-IMP	treatment	dementia
1,2-dimethyl-3-hydroxypyrid-4-one	treatment	renal_dialysis
12-O-tetradecanoylphorbol-13-acetate	treatment	papillomas
1,25-dihydroxyvitamin_D	treatment	rickets
1,25-Dihydroxyvitamin_D3	treatment	renal_insufficiency
12-O-tetradecanoyl-phorbol_13-acetate	treatment	hepatoma
12-O-tetradecanoyl-1,2-phorbol_13-acetate	treatment	PKC
11-deoxycorticosterone	treatment	hyperplasia
131I-metaiodobenzylguanidine	treatment	pheochromocytoma
1,25_Dihydroxyvitamin_D3	treatment	breast_cancer
11-deoxycortisol	treatment	11b-hydroxylase_deficiency
12-O-tetradecanoylphorbol-13-acetate	treatment	adenocarcinoma
1,25-dihydroxyvitamin_D	treatment	thyroid_cancer
1,2-dihexadecylphosphatidylcholine	treatment	vesicle_aggregation
11Beta-hydroxysteroid	treatment	hypertensive
1,3-butadiene	treatment	toxicity
123I-5-IA-85380	treatment	Alzheimer_disease
12-O-tetradecanoyl-phorbol-13_acetate	treatment	PKC
1,2-dioctanoyl-sn-glycerol	treatment	PKC
10-HCPT	treatment	liver_cancer
123I-labeled_metaiodobenzylguanidine	treatment	hypertensive
123I-Tyr3-octreotide	treatment	islet-cell_tumors
1,2-diacylglycerol	treatment	hypertensive
12-0-tetradecanoyl-phorbol-13-acetate	treatment	tumor
12-0-tetradecanoyl_phorbol-13-acetate	treatment	PKC
125iodine	treatment	bladder_cancer
10-methylene_tetrahydrofolate	treatment	TS
123I-metaiodobenzylguanidine	treatment	ectopic_intracranial_retinoblastoma
11C-methionine	treatment	Ovarian_cancer
1,25-dihydroxyvitamin_D3	treatment	calvarial_osteoblasts
12-0-tetradecanoylphorbol-13-acetate	treatment	neuroblastoma
123I-iomazenil	treatment	temporal_lobe_epilepsy
11-hydroxycorticosteroids	treatment	myocardial_infarct
11C	treatment	tumors
10-chlorodeserpidine	treatment	neuropsychic_agitation
1,25-dihydroxyvitamin_D3	treatment	unilateral_renal_artery_stenosis
12-O-tetradecanoylphorbol-13-acetate	treatment	Tumors
12-O-tetradecanoylphorbol-13-acetate	treatment	hepatoma
125iodine	treatment	prostatic_cancer
123I-iomazenil	treatment	hepatic_encephalopathy
1,2:5,6-dianhydrogalactitol	treatment	Yoshida_sarcoma
1,25-OH2D	treatment	hypophosphatemia
111indium-DTPA	treatment	leptomeningeal_metastases
123I-IMP	treatment	epilepsy
123I-metaiodobenzylguanidine	treatment	pheochromocytoma
10B-BPA	treatment	glioblastoma
123I-orthoiodohippurate	treatment	renal_and_urinary_disorders
12-HETE	treatment	leukemic_blasts
1,2-dimethylhydrazine	treatment	tumours
131I	treatment	cytotoxicity
1,2-diacylglycerol	treatment	cardiac_hypertrophy
13C-bicarbonate	treatment	Helicobacter_pylori_infection
1,25-dihydroxyvitamin_D3	treatment	myeloid_leukemia
12-O-tetradecanoylphorbol_13-acetate	treatment	neuroblastoma
13-cis_retinoic_acid	treatment	hormone_refractory_prostate_cancer
1,25-hydroxyvitamin_D	treatment	chronic_renal_failure
12-HETE	treatment	atopic_dermatitis
131I-metaiodobenzylguanidine	treatment	intestinal_carcinoids
11C-labeled_acetate	treatment	non-coronary_artery_disease
11-hydroxycorticosteroid	treatment	accidental_hypothermia
1,2-dimethylhydrazine	treatment	cancer
11-oxo-eicosatetranoic_acid	treatment	atherosclerotic_plaque
12-O-tetradecanoylphorbol13-acetate	treatment	PKC
12-oxo-phytodienoic_acid	treatment	inflammation
1,2-dimethylhydrazine	treatment	NPC
12-O-tetradecanoyl_phorbol-13-acetate	treatment	non-lymphoid_leukemia
1,25-Dihydroxycholecalciferol	treatment	idiopathic_hypoparathyroidism
1,25-dihydroxyvitamin_D3	treatment	brain_disease
1,25-Dihydroxyvitamin_D	treatment	psoriasis
1,2-dimethyl-hydrazine	treatment	colonic_tumors
1-13C_pyruvate	treatment	brain_tumor
11b-hydroxysteroid	treatment	diabetes
12-hydroxyheptadecadienoic	treatment	HHD
11-cis-retinal	treatment	diabetic_retinas
11-dehydro_thromboxane_B2	treatment	CAD
1,2-NQ	treatment	asthma
12-O-tetradecanoylphorbol-13-acetate	treatment	BL
1,2-dimethylhydrazine	treatment	colon_tumors
1,3-benzodioxoles	treatment	tumor
1,25-dihydroxyvitamin_D	treatment	femoral_fracture
1,25-dihydroxyvitamin_D3	treatment	bone_loss
1,25-DHCC	treatment	primary_hyperparathyroidism
1,2-Dichlorobenzene	treatment	liver_damage
12-O-tetradecanoyl-phorbol-13-acetate	treatment	epidermal_hyperplasia
1,1-dichloroethylene	treatment	renal_damage
13C-Hiolein	treatment	steatorrhea
12-O-tetradecanoylphorbol-13-acetate	treatment	myeloid_leukemia
1,25-dihydroxyvitamin_D3	treatment	gastric_cancer
125iodine	treatment	localized_prostate_cancer
1,25-dihydroxyvitamin_D	treatment	cancer
11-deoxyprostaglandin_E1	treatment	hyperalgesia
123I-IMP	treatment	occlusive_cerebrovascular_disease
11-amino-1-undecanethiol	treatment	SAMs
11C-Methionine	treatment	tumor
111-indium_DTPA_octreotide	treatment	colorectal_liver_metastases
13-cis_retinoic_acid	treatment	myelodysplastic_syndromes
10-HDA	treatment	melanoma
111In-pentetreotide	treatment	neuroendocrine_tumors
1,25-dihydroxyvitamin_D3	treatment	hypercalcemia
1,25-dihydroxyvitamin_D3	treatment	milk_fever
131CsCl	treatment	Detection_of_breast_disease
11beta-hydroxysteroid	treatment	metabolic_syndrome
10-microl	treatment	brain_infarction
123I-BMIPP	treatment	mitochondrial_myopathy
1,25-dihydroxyvitamin_D3	treatment	secondary_hyperparathyroidism
11C-methionine	treatment	metastasis
11OHD	treatment	congenital_adrenal_hyperplasia
1,25-dihydroxyvitamin_D3	treatment	chronic_obstructive_pulmonary_disease
1,25-dihydroxy_vitamin_D3	treatment	hepatoma
12-O-tetradecanoylphorbol-13-acetate	treatment	skin_inflammation
12-O-Tetradecanoylphorbol-13-acetate	treatment	acute_lymphocytic_leukemia
1,25-dihydroxyvitamin_D	treatment	leukemia
12-O-tetradecanoyl-phorbol_13-acetate	treatment	PKC
123I-metaiodobenzylguanidine	treatment	IDDM
131I	treatment	DTC
12-O-tetradecanoyl-phorbol-13-acetate	treatment	RA
12-O-tetradecanoylphorbol-13-acetate	treatment	acute_nonlymphocytic_leukemia
123I-Iomazenil	treatment	moyamoya_disease
131I	treatment	cancer
1,25_dihydroxyvitamin_D	treatment	osteoporosis
1,3-b-D-glucan	treatment	intra-abdominal_candidiasis
10-hydroxycamptothecin	treatment	glioma
1,2-Diacylglycerol	treatment	hypertension
111In-octreotide	treatment	small_cell_lung_cancer
1,25D3-MARRS	treatment	breast_cancer
12-O-tetradecanoyl-13-phorbol_acetate	treatment	glioma
1,3,4-thiadiazines	treatment	platelet_aggregation
12-O-tetradecanoylphobol_13-acetate	treatment	PKC
123I-Iolopride	treatment	Parkinsonian_symptoms
12-O-Tetradecanoylphorbol-13-acetate	treatment	PLD
111Indium_pentetreotide	treatment	neural_crest_tumors
1,25-vitamin_D3	treatment	impaired_renal_function
1,25-dihydroxy-vitamin_D3	treatment	multibacillary_leprosy
1,2-trans-dicarboxy-4,5-cyclohexanediols_1-3	treatment	DCCHDs
10-Hydroxycamptothecin	treatment	epidural_fibrosis
1,2,3,6-tetrahydro-N-trichloromethylthiophthalmide	treatment	carcinoma
1,2,4-trichlorobenzene	treatment	Subchronic_toxicity
123I-metaiodobenzylguanidine	treatment	idiopathic_dilated_cardiomyopathy
1,25-dihydroxyvitamin_D3	treatment	promyelocytic_leukaemia
123I-MIBG	treatment	cardiac_diseases
1,25-dihydroxyvitamin_D3	treatment	acute_myelogenous_leukemia
1,2-dimethylhydrazine	treatment	colorectal_tumours
1,2-Dimethylthdrazine	treatment	vascular_neoplasms
12-O-tetradecanoylphorbol-13-acetate	treatment	Epstein-Barr_virus
11C-MET	treatment	gliomas
12-O-tetradecanoylphorbol-13-acetate	treatment	Hyperplasia
071031B	treatment	lower_cytotoxicity
12-O-tetradecanoylphorbol-13-acetate	treatment	PKC
12-O-tetradecanoylphorbol-13-acetate	treatment	B_cell_leukemia
11C-PK11195	treatment	atherosclerosis
1,2-dimethylhydrazine	treatment	preneoplastic_lesions
13C-acetate	treatment	gastric_emptying
10-MDP	treatment	Cervical_Lesions
131I-iodine	treatment	thyroid_cancer
13C-acid	treatment	gastric_emptying
10-Cl-BBQ	treatment	toxicity
10-Hydroxycamptothecine	treatment	RA
123I-beta-methyl_iodophenyl_pentadecanoic_acid	treatment	hypertrophic_cardiomyopathy
111In-octreotide	treatment	pituitary_adenomas
1,25-dihydroxyvitamin_D3	treatment	uremic
1,1,1-trichloroethane	treatment	trickle-bed_air_biofilter
1,25-dihydroxyvitamin_D	treatment	CKD
1,2-Diamino-4,5-Dibromobenzene	treatment	Pancreatic_Cancer
1,2-dimethylhydrazine	treatment	colitis
1,25-dihydroxyvitamin_D3	treatment	alopecia
1,2-sn-Diacylglycerols	treatment	protein_kinase_C
1,25-dihydroxycholecalciferol	treatment	hypophosphataemic_osteomalacia
1,25-Dihydroxyvitamin_D3	treatment	cancer
1,25-D3	treatment	PCa
1,1-Diphenyl-2-picryl-hydrazyl	treatment	Toxicity
125-iodine	treatment	metastatic_tumor
1,2,4-triazole	treatment	platelet_aggregation
1,25-dihydroxyvitamin_D3	treatment	oral_squamous_carcinoma
1,25-dihydroxyvitamin_D3	treatment	postmenopausal_osteoporosis
12-O-tetradecanoylphorbol-13-acetate	treatment	irritant_contact_dermatitis
13C-glucose	treatment	human_immunodeficiency_virus
11a-O-benzoyl-12b-O-acetyltenacigenin_B	treatment	Burkitt_lymphoma
11-oxygenated-C19_androgens	treatment	CAH
1,1-Dichloroethylene	treatment	necrosis
1,2,3-Triazole	treatment	Bacterial_Infections
129Cs	treatment	myocardial_hypoxia
1,2-dimethylhydrazine	treatment	TS
12-O-Tetradecanoylphorbol-13-acetate	treatment	epidermal_hyperplasia
12-hydroxyheptadecatrienoate	treatment	HHT
11b-hydroxysteroid	treatment	type
12-O-tetradecanoylphorbol-13-acetate	treatment	epidermoid_carcinoma
1,25-dihydroxyvitamin_D	treatment	colorectal_tumours
11beta-hydroxysteroid	treatment	congenital_adrenal_hyperplasia
1,2-NQ	treatment	Cataracts
