entity1	theme	entity2
1,1,1,3,3-Pentafluoropropane	treatment	toxicity
1,25-dihydroxyvitamin_D	treatment	hypertension
1,3-butadiene	treatment	BD
13-cis-RA	treatment	lymphomas_of_T-lineage
125I-iothalamate	treatment	renal_insufficiency
131I-metaiodobenzylguanidine	treatment	metastases
11-OCS	treatment	traumatic_shock
1,25-Dihydroxy_vitamin_D3	treatment	osteopenia
1,2-dihydroxybenzene	treatment	convulsive
123I-MEL037	treatment	melanoma_tumor
1,25_dihydroxy_vitamin_D3	treatment	pulmonary_tuberculosis
11-dehydrothromboxane_B2	treatment	angina
111In-Pentetreotide	treatment	small-cell_lung_cancer
123I-metaiodobenzylguanidine	treatment	inferior_myocardial_defect
12-O-Tetradecanoylphorbol-13-acetate	treatment	promyelocytic_leukemia
10398A	treatment	T2DM
12-0-tetradecanoylphorbol-13-acetate	treatment	PDB
1,2-dimethylhydrasine	treatment	HOL
12-O-tetradecanoylphorbol-13-acetate	treatment	hypersensitivity
1,25-dihydroxyvitamin_D3	treatment	leukemia
10-hydroxycamptothecin	treatment	liver_tumors
1,3,5-trioxetanetrione	treatment	unimolecular_dissociation
12-O-tetradecanoylphorbol-13-acetate	treatment	skin_tumors
11C-ACPC	treatment	cancer
123I-Meta-Iodobenzylguanidine	treatment	Dementia
12-0-tetradecanoyl-phorbol-13-acetate	treatment	megakaryoblastic_leukemia
131I	treatment	toxic_goiter
125-iodine	treatment	hypothyroidism
1,2,6-Tri-O-galloyl-beta-D-glucopyranose	treatment	human_immunodeficiency_virus
1,25-dihydroxyvitamin_D	treatment	liver_disease
111-indium-octreotide	treatment	lymph_node_tuberculosis
13bHCl	treatment	tumor
13-cis-retinoic_acid	treatment	acute_promyelocytic_leukemia
11C-sarcosine	treatment	tumor
11C-Choline	treatment	prostate_cancer
10058-F4	treatment	cold_allodynia
1,2-dipalmitoyl-sn-glycero-3-phosphoethanolamine	treatment	cancer
11C-N-methylspiperone	treatment	melanoma
13,14-Dihydro-15-keto_prostaglandin_F2_alpha	treatment	lung_cancer
13762A	treatment	tumor
111In-DTPA-peptide-biotin	treatment	tumor
111In-octreotide	treatment	tumors
123I-metaiodobenzylguanidine	treatment	hypertension
12-O-tetradecanoylphorbol-13-acetate	treatment	erythroleukemia
11-deoxycortisol	treatment	adrenocortical_hyperfunction
11-cis-retinal	treatment	hereditary_blindness
11C-MET	treatment	IHCP
123I-Tyr-3-octreotide	treatment	small-cell_lung_cancer
1,2-dihydroxyvitamin_D	treatment	VD
1,25-dihydroxyvitamin_D3	treatment	psoriasis
125iodine	treatment	prostate_cancer
11-HOCS	treatment	heart_diseases
1,25-dihydroxyvitamin_D3	treatment	neuroblastoma
1,25_OH_vitamin_D	treatment	metastasis
125I	treatment	Hypothyroidism
12-O-tetradecanoylphorbol-13-acetate	treatment	tumor
1,2-dioleoyl-3-trimethylammonium-propane	treatment	cytotoxicity
125I-Propylthiouracil	treatment	melanotic_melanoma
1,2-dichloroethane	treatment	brain_edema
12-O-tetradecanoyl-phorbol-13-acetate	treatment	protein_kinase_C
12-O-tetradecanoylphorbol-13-acetate	treatment	leukemia
12-o-tetradecanoyl_phorbol_13-acetate	treatment	PKC
1,25-dihydroxyvitamin_D3	treatment	renal_failure
10058-F4	treatment	PDAC
1,2_DOG	treatment	PKC
1,1-dichlorodiphenildichloroethane	treatment	DDD
1,25-dihydroxyvitamin_D	treatment	hypercalcemia
10-Hydroxy-2-decenoic_acid	treatment	hyperglycemia
10-hydroxycamptothecin	treatment	promyelocytic_leukemia
1,2-diacylglycerol	treatment	PKC
111In-pentetreotide	treatment	tumours
10-deoxy-10-C-morpholinoethyl	treatment	cytotoxicity
1,25-Dihydroxyvitamin-D3	treatment	DCM
1,2-propanediol	treatment	infection
10-Oxa-5,8-dideazafolic_acid	treatment	tumor
1,25-dihydroxycholecalciferol	treatment	hematologic_and_skeletal_abnormalities
1,2,3,4-butanetetracarboxylic_acid	treatment	toxicity
131I	treatment	hypothyroidism
1,1,1-trichloroethane	treatment	cardiac_toxicity
125iodine	treatment	prostatic_carcinoma
1,1,1-trichloroethane	treatment	poisoning
12-O-tetradecanoyl-phorbol-13-acetate	treatment	chronic_myeloid_leukemia
123I-iodoazomycin_arabinoside	treatment	tumor_hypoxia
1,2,6-IP3	treatment	pain
1,2-dichloropropane	treatment	acute_renal_failure
123I-Tyr3-octreotide	treatment	GEP-tumours
1,2,3,6-methyl-phenyl-tetrahydropyridine	treatment	PD
123I-metaiodobenzylguanidine	treatment	Lewy_body_disease
123I_metaiodobenzylguanidine	treatment	retinoblastoma
11-cis-retinal	treatment	LCA
123I-heptadecanoic_acid	treatment	impaired_glucose_tolerance
125iodine	treatment	adenocarcinoma_of_the_prostate
124-amino-acid	treatment	pancreatic_loop
1,3-BG	treatment	allergic_contact_dermatitis
11beta-OHD	treatment	inherited_disease
123I-IMP	treatment	intracranial_tumors
131I-metaiodobenzylguanidine	treatment	acute_myeloid_leukemia
1,2-diacylglycerol	treatment	ischemic
11-deoxycortisol	treatment	Congenital_adrenal_hyperplasia
1,2-dimethyl-3-hydroxypyrid-4-one	treatment	iron_in_beta_thalassaemia
1,2-dimethylhydrazine	treatment	Colon_carcinogenesis
11-OH_THC	treatment	PHA
1,3-Butanediol	treatment	cholestasis
1,25-dihydroxyvitamin_D3	treatment	autoimmune_thyroiditis
1,1-Dichloroethylene	treatment	pulmonary_injury
10-HDA	treatment	colon_cancer
1,10-phenantroline	treatment	heat_shock
1,2_dimethylhydrazine	treatment	Colorectal_tumours
123I-MIBG	treatment	hepatic_hemangioma
123I-metaiodobenzylguanidine	treatment	KD
13-cis-RA	treatment	peripheral_T-cell_lymphoma
1,25-dihydroxyvitamin_D	treatment	parturient_paresis
111In-pentetreotide	treatment	tumor
1,25-D3	treatment	RA
1,2-Dimethylhydrazine	treatment	colon_cancer
11C-AC	treatment	pulmonary_malignancy
10-gingerol	treatment	colon_cancer
11-deoxycortisol	treatment	congenital_adrenal_hyperplasia
1,25-Dihydroxyvitamin_D3	treatment	increase_in_the_number_of_osteoclastlike_cells
1,25-dihydroxyvitamin_D	treatment	amenorrhea
12-methacryloyloxydodecylpyridinium_bromide	treatment	dentinal_carious_lesions
125iodine	treatment	carcinoma_of_prostate
1,25-dihydroxyvitamin_D	treatment	chronic_kidney_disease
11-deoxycortisol	treatment	early_failure
1,2-dichloroethane	treatment	Impairment_of_lipoglycoprotein_metabolism
111In-PSMA-617	treatment	PCa
1,1,2-trisubstituted-1H-indenes	treatment	Low-valent_Nb
1,1-dichloroethylene	treatment	Lung_injury
1,2-dichloroethane	treatment	copper_nanoparticles
1,2-dimethylhydrazine	treatment	tumor
12139C	treatment	lung_cancer
1,2-DAG	treatment	PDGF
12-O-tetradecanoylphorbol-13-acetate	treatment	skin_carcinogenesis
11-deoxycorticosterone	treatment	hypertension
111In-pentetreotide	treatment	thyroid_carcinoma
125Iodine	treatment	colorectal_adenocarcinoma
123I-15-iodophenyl_3-methyl_pentadecanoic_acid	treatment	myocardial_injury
123I-IMP	treatment	malignant_lymphomas
1,25-dihydroxycholecalciferol	treatment	hypoparathyroidism
1,25-Dihydroxyvitamin_D3	treatment	secondary_hyperparathyroidism
1,25-dihydroxyvitamin-D3	treatment	renal_osteodystrophy
123I-MIBG	treatment	phaeochromocytomas_and_paragangliomas
1,25-dihydroxyvitamin_D3	treatment	VD
13-acetate	treatment	B_lymphoma
12-O-Tetradecanoylphorbol-13-acetate	treatment	protein_kinase_C
12-hydroxyeicosatetraenoic_acid	treatment	diabetes
1,25-Dihydroxyvitamin_D3	treatment	colorectal_carcinoma
13C	treatment	obese
1,2-dimethylhydrazine	treatment	Colonic_cancer
10-ethyl-10-deaza-aminopterin	treatment	head_and_neck
12-O-tetradecanoyl-phorbol-13_acetate	treatment	protein_kinase_C
11,12-epoxyeicosatrienoic_acid	treatment	arrhythmias
11beta-hydroxysteroid	treatment	type
1,2-dichlorohexafluorocyclobutane	treatment	amnesia
123I-orthoiodohippurate	treatment	renal_diseases
1,25-dihydroxyvitamin_D	treatment	inflammatory_myofibroblastic_tumour
1,25-Dihydroxyvitamin_D	treatment	prostate_cancer
12-O-tetradecanoylphorbol_13-acetate	treatment	promyelocytic_leukemia
1,2-dimethylhydrazine	treatment	colon_adenocarcinomas
12-S-HETE	treatment	epithelial_injury
1.2-dichloropropane	treatment	Cholangiocarcinoma
123I-MIBG	treatment	PD
1,25-dihydroxy_vitamin_D3	treatment	renal_osteodystrophy
11-dehydro-CS	treatment	CS
1,25-dihydroxycholecalciferol	treatment	hip_fracture
137Cs_burden	treatment	Cardiovascular_symptoms
13-cis-retinoic_acid	treatment	adenocarcinoma_of_the_endometrium
11C-methionine	treatment	basal_ganglia_germinoma
1,2-diacylglycerol	treatment	tumor
11C-methionine	treatment	glioma
10-ethyl-10-deaza-aminopterin	treatment	squamous_cell_carcinoma
1,1-diphenyl-2-picrylhydrazyl	treatment	antioxidant_activity
131I-metaiodobenzylguanidine	treatment	leukemia
1,24,25-trihydroxyvitamin_D3	treatment	bone_loss
123I-metaiodobenzylguanidine	treatment	dilated_cardiomyopathy
11-keto-b-boswellic_acid	treatment	BSE
1,2-dimethyl-3-hydroxypyrid-4-one	treatment	iron_overload
12-O-tetradecanoyl-phorbol-13-acetate	treatment	adenovirus_type_5-infected
131I	treatment	tumoral_calcinosis
1,3,6,7-tetrahydroxy-8-prenylxanthone	treatment	inflammation
131Iodine	treatment	DTC
111In-octreotide	treatment	adenomas
13ASA	treatment	MCF-7_and_MDA-MB-231_breast_cancer
131I-metaiodobenzylguanidine	treatment	phaeochromocytomas
125I-iododeoxyuridine	treatment	Chromosomal_instability
12,13-epoxytrichothecenes	treatment	toxicosis
1,25-D	treatment	breast_cancer
123I-ioflupane	treatment	Parkinsonism
1,25_dihydroxyvitamin_D3	treatment	chronic_renal_failure
1,2-Dimethylhydrazine_dihydrochloride	treatment	NA
1,25-Dihydroxyvitamin_D3	treatment	postmenopausal_osteoporosis
11b-Hydroxysteroid	treatment	type
12-O-tetradecanoly_Phorbol-13-acetate	treatment	skin_tumors
1242-MG	treatment	glioblastoma
1,25-dihydroxyvitamin_D3	treatment	X-linked_hypophosphatemia
1,3,5-Trinitrobenzene	treatment	cytotoxicity
1,25-dihydroxyvitamin_D	treatment	psoriasis
1,25-dihydroxyvitamin_D3	treatment	mammary_tumor
1,2-benzisothiazolin-3-one	treatment	Occupational_hand_dermatitis
12-O-tetradecanylphorbol_13-acetate	treatment	embryonal_carcinoma
131I	treatment	papillary_meningioma
123I-BMIPP	treatment	unstable_angina
11-ketodihydrotestosterone	treatment	prostate_cancer
1,25-dihydroxyvitamin_D	treatment	breast_cancer
1,25-Dihydroxyvitamin_D3	treatment	Hyporesponsiveness
131I-metaiodobenzylguanidine	treatment	malignant_pheochromocytoma
11-DOGA	treatment	gastric_cancer
1,25-dihydroxyvitamin_D3	treatment	glioma
1,1-dichloroethylene_epoxide	treatment	lung_tumors
11C-methionine	treatment	tumor
1,25-dihydroxycholecalciferol	treatment	parturient_paresis
12-O-tetradecanoylphorbol_acetate	treatment	mouse_ear_oedema
131I-metaiodobenzylguanidine	treatment	neuroblastoma
10-ethyl-10-deazaaminopterin	treatment	advanced_cancer
1.2-diacylglycerol	treatment	dystrophic_mitochondria
13,14-dihydro-15-keto-PGE2	treatment	DKA
13-cis-retinoic_acid	treatment	acne
12-o-tetradecanoyl_phorbol-13-acetate	treatment	PKC
1,10-phenanthroline	treatment	fragmentation
1,25_dihydroxy_vitamin_D3	treatment	RA
1,2-dimethylhydrazine	treatment	hypercholesteremia
11-cis-retinal	treatment	diabetic
13-cis-RA	treatment	malformations
104E	treatment	asbestos
1,2-diacylglycerol	treatment	energy_metabolic_disorder
11C-methionine	treatment	glioblastoma
11-deoxycorticosterone	treatment	adrenal_insufficiency
12-O-tetradecanoylphorbol-13-acetate	treatment	inhibited_ear_edema
131I-metaiodobenzylguanidine	treatment	neural_crest_tumours
13-acetate	treatment	WT
13-cis	treatment	endometrial_adenocarcinoma
1,25-dihydroxyvitamin_D	treatment	hypophosphatemia
12-O-tetradecanoylphorbol-13-acetate	treatment	carcinoma
1,25-dihydroxyvitamin_D3	treatment	Osteopenia
1,25-dihydroxyvitamin_D	treatment	Secondary_hyperparathyroidism
11C-MET	treatment	granuloma
111In-SB3	treatment	tumor
1,25-hydroxyvitamin_D3	treatment	hypothyroidism
11_beta-hydroxysteroid	treatment	deficiency_of_the_kidney_isozyme
1,25_Dihydroxyvitamin_D3	treatment	experimental_allergic_encephalomyelitis
12-O-tetradecanoylphorbol-13-acetate	treatment	tumors
123I-metaiodobenzylguanidine	treatment	long_QT_syndrome
131_I-metaiodobenzylguanidine	treatment	neuroblastoma
11b-hydroxysteroid	treatment	adipose_dysfunction
1,25-dihydroxy_vitamin_D3	treatment	hypocalcemia
12-O-tetradecanoylphorbol_13-acetate	treatment	cytotoxicity
12-O-tetradecanolyphorbol-13-acetate	treatment	decreased_hyperplasia
12-O-tetradecanoylphorbol-13-acetate	treatment	CCA
12-O-tetradecanoyl-phorbol-13-acetate	treatment	PKC
11-hydroxycorticoid	treatment	paralysis
1,2-dimethylhydrazine_dihydrochloride	treatment	vascular_injury
12a-hydroxyrotenone	treatment	colon_cancer
11C-methionine	treatment	breast_cancer
1,25-dihydroxyvitamin_D3	treatment	osteoporosis
1,2-dichloropropane	treatment	fatigue
10-EDAM	treatment	NSCLC
11-dehydro-TXB2	treatment	acute_myocardial_infarction
123I-Metaiodobenzylguanidine	treatment	panic_disorder
123I-IMP	treatment	primary_central_nervous_system_lymphomas
12-O-Tetradecanolylphorbol-13-acetate	treatment	inflammation
1,2-dithiole-3-thiones	treatment	reverse_transcriptase
11-deoxycorticosterone	treatment	essential_and_renovascular_hypertension
1,25-dihydroxyvitamin_D	treatment	renal_insufficiency
1,25-hydroxyvitamin_D	treatment	colitis
11beta-hydroxysteroid	treatment	obesity
11-mercaptoundecanoic_acid	treatment	self-assembled_monolayers
11beta-hydroxysteroid	treatment	prostate_cancer
12-O-tetradecanoyl_phorbol-13-acetate	treatment	tumour
1,25-dihydroxyvitamin_D	treatment	hypocalcemia
1,2-dimethylhydrazine	treatment	Multiple_colorectal_adenocarcinomas
1,3,4-thiadiazine	treatment	pancreatitis
13C-glucose	treatment	ischemic
11C-L-methionine	treatment	prolactinomas
131-I-metaidobenzylguanidine	treatment	pheochromocytoma
1,3-butadiene	treatment	Macrocytic-megaloblastic_anemia
125-iodine	treatment	pineoblastomas
131I	treatment	hyperthyroidism
125I-iothalamate	treatment	incomplete_bladder_emptying
11-cis-retinal	treatment	SE
12-O-tetradecaoylphorbol-13-acetate	treatment	protein_kinase_C
1,25-dihydroxyvitamin_D	treatment	congenital_osteopetrosis
1,25-dihydroxyvitamin_D3	treatment	colon_carcinoma
12-O-tetradecanoylphorbol-13-acetate	treatment	edema
11beta-hydroxysteroid	treatment	inflammatory_bowel_disease
1,3-butadiene	treatment	cancer
1,25-dihydroxyvitamin_D	treatment	malignancy
10-Thiastearic_acid	treatment	protozoan_Crithidia_fasciculata
12-o-tetradecanoyl-phorbol-13-acetate	treatment	PKC
1,25-dihydroxycholecalciferol	treatment	renal_osteodystrophy
12-O-tetradecanoyl_phorbol-13-acetate	treatment	excess_lung_tumors
12-O-tetradecanoylphorbol_13-acetate	treatment	protein_kinase_C
123I-iomazenil	treatment	focal_epilepsies
11-deoxycorticosterone	treatment	CRPCs
12-methyltridecanal	treatment	OAVs
13-acetate	treatment	protein_kinase_C
1,3-BDG	treatment	secondary_peritonitis
13C_acetate	treatment	gastric_emptying
123I-MIBG	treatment	AML
1,2-Dimethylhydrazine_dihydrochloride	treatment	colon_cancer
111In-pentetreotide	treatment	SRS
1,1-diphenyl-2-picrylhydrazyl	treatment	PD
1,25-dihydroxyvitamin_D	treatment	Chronic_kidney_disease
12-O-tetradecanoyl-phorbol-13-ester	treatment	PKC
1,25-dihydroxyvitamin_D	treatment	acromegaly
10B1-paraboronophenylalanine-HCl	treatment	melanoma
1,25-dihydroxyvitamin_D3	treatment	clonal_osteoblast-like_rat_osteogenic_sarcoma
1,25_dihydroxy-vitamin_D3	treatment	osteogenic_sarcoma
131I	treatment	Hypothyroidism
12-O-tetradecanoylphorbol-13-acetate	treatment	melanoma
111In-RP748	treatment	myocardium
10-propargyl-5,8-dideazafolate	treatment	TS
1,25-dihydroxycholecalciferol	treatment	renal_failure
1,25-dihydroxyvitamin_D3	treatment	experimental_autoimmune_encephalomyelitis
1,25-dihydroxyvitamin-D3	treatment	chronic_renal_failure
12-O-tetradecanoylphorbol-13-acetate	treatment	inflammation
13-cis-retinoic_acid	treatment	acne_vulgaris
1,2-propanediol	treatment	invasiveness_of_Salmonella
1-14C_linoleic_acid	treatment	CF
125iodine	treatment	metastases
131-Meta-iodo-benzylguanidine	treatment	tumours
111In-pentetreotide	treatment	MTC
12-O-tetradecanoylphorbol-13-acetate	treatment	PLD
1,2-dimethylhydrazine	treatment	ACF
11-methyl-17-ketone	treatment	leukaemia
1,25-dihydroxyvitamin_D3	treatment	Rat_osteosarcoma
1,2-dithiole-3-thione	treatment	tumors
11-deoxycortisol	treatment	GS
12-O-tetradecanoylphorbol-13-acetate	treatment	breast_cancer
12-O-tetradecanoylphorbol-13-acetate	treatment	HEP-G2
12-O-Tetradecanoylphorbol-13-acetate	treatment	PKC
12-O-tetradecanoylphorbol-13-acetate	treatment	pancreatic_cancer
12-O-tetradecanoylphorbol-3-acetate	treatment	inflammation
1,2-dimethylhydrazine	treatment	colon_cancer
11-dehydrocorticosterone	treatment	granuloma
125iodine	treatment	malignant_gliomas
111In-octreotide	treatment	medullary_thyroid_carcinoma
131I-metaiodobenzylguanidine	treatment	Primary_ovarian_insufficiency
12-O-tetra-decanoylphorbol-13-acetate	treatment	leukemia
1,1-dichloro-2-propanone	treatment	Subchronic_toxicity
11C-choline	treatment	prostate_cancer
1,25_vitamin_D3	treatment	cancer
111In-Octreotide	treatment	pancreatic_insulinoma
11-deoxycorticosterone	treatment	aldosterone_deficiency
1,25-dihydroxyvitamin_D	treatment	chronic_renal_insufficiency
12-Acetoxyhawtriwaic_acid_lactone	treatment	edema
11-oxycorticoids	treatment	hyperthyroidism
1,10-phenanthroline	treatment	oedema
123I-beta-methyl-iodophenylpentadecanoic_acid	treatment	dilated_cardiomyopathy
11OHA4	treatment	prostate_cancer
125I	treatment	carcinosarcoma
1-0-alkyl-2-acetyl-SN-glycero-3-phosphorylcholine	treatment	platelet_aggregation
1,2-Octanediol	treatment	head_louse_infestation
11C-Methionine	treatment	gliomas
1,2,3,4-tetrahydroisoquinoline-3-carboxylic_acid	treatment	Tic
123I-metaiodobenzylguanidine	treatment	Autonomic_nervous_dysfunction
1,25-dihydroxycholecalciferol	treatment	hypocalcemia
12-O-tetradecanoylphorbol-13-acetate	treatment	epidermal_hyperplasia
1,25-dihydroxyvitamin_D3	treatment	osteogenic_sarcoma
10-substituted_1,6-diazaphenothizines	treatment	melanoma_C-32_and_breast_cancer
1,2-octanediol	treatment	head_louse_infestation
